08/07/2016 17:03,Peter Gabriel,Sledgehammer
08/07/2016 17:00,Michael Jackson,Beat It
08/07/2016 16:53,Inxs,Need You Tonight
08/07/2016 16:48,LaBelle,Lady Marmalade
08/07/2016 16:44,Nik Kershaw,Wouldn&apos;t It Be Good
08/07/2016 16:41,Cher,Shoop Shoop Song (It´s In His Kiss)
08/07/2016 16:35,Village People,Y.M.C.A
08/07/2016 16:31,Frankie Goes To Hollywood,Relax
08/07/2016 16:27,Jacksons,Blame It On The Boogie
08/07/2016 16:22,Blondie,Call Me
08/07/2016 16:17,Madonna,Open Your Heart
08/07/2016 16:10,Bee Gees,Stayin Alive
08/07/2016 16:04,Human League,Don&apos;t You Want Me
08/07/2016 16:01,Weather Girls,It´s Raining Men
08/07/2016 15:56,Sister Sledge,We Are Family
08/07/2016 15:52,U2,With Or Without You
08/07/2016 15:48,Billy Joel,The River Of Dreams
08/07/2016 15:43,Boney M,Sunny
08/07/2016 15:38,Queen,Crazy Little Thing Called Love
08/07/2016 15:34,Hall &amp; Oates,Maneater
08/07/2016 15:31,Beatles,Can´t Buy Me Love
08/07/2016 15:25,Fleetwood Mac,Little Lies
08/07/2016 15:21,Diana Ross,Chain Reaction
08/07/2016 15:13,ABBA,"Knowing Me, Knowing You"
08/07/2016 15:08,Michael Jackson,Thriller
08/07/2016 15:03,Feargal Sharkey,A Good Heart
08/07/2016 14:54,Belinda Carlisle,Leave a Light On
08/07/2016 14:51,Earth Wind &amp; Fire,September
08/07/2016 14:47,Bob Marley,Could You Be Loved
08/07/2016 14:43,Rick Astley,Together Forever
08/07/2016 14:37,Bonnie Tyler,It&apos;s A Heartache
08/07/2016 14:34,F.R. David,Words
08/07/2016 14:29,Barry White,"You&apos;re The First, The Last, My Everything"
08/07/2016 14:21,Billy Idol,Sweet Sixteen
08/07/2016 14:16,Eurythmics,Here Comes The Rain Again
08/07/2016 14:11,Tina Charles,I Love To Love
08/07/2016 14:06,Tears For Fears,Everybody Wants To Rule The World
08/07/2016 14:02,Queen,I Want To Break Free
08/07/2016 13:53,Paula Abdul,Straight Up
08/07/2016 13:47,Madonna,Like A Prayer
08/07/2016 13:40,Boney M.,Ma Baker
08/07/2016 13:33,Fine Young Cannibals,She Drives Me Crazy
08/07/2016 13:28,Whitney Houston,I Wanna Dance With Somebody
08/07/2016 13:22,Tom Jones,She&apos;s A Lady
08/07/2016 13:16,Tina Turner,The Best
08/07/2016 13:13,Jason Donovan,Sealed With a Kiss
08/07/2016 13:07,ABBA,Mamma Mia
08/07/2016 13:03,Shakin Stevens,You Drive Me Crazy
08/07/2016 13:00,Robert Palmer,Johnny And Mary
08/07/2016 12:53,Prince,When Doves Cry
08/07/2016 12:50,Modern Talking,"You´re My Heart, You´re My Soul"
08/07/2016 12:45,Gloria Gaynor,Reach Out I´ll Be There
08/07/2016 12:40,Steve Miller Band,Abracadabra (Round n&apos; Round)
08/07/2016 12:35,Bonnie Tyler,Holding Out For Hero
08/07/2016 12:30,10 Cc,Dreadlock Holiday
08/07/2016 12:23,Bryan Adams,Summer Of 69
08/07/2016 12:19,Taylor Dayne,Tell It To My Heart
08/07/2016 12:11,Earth Wind &amp; Fire,Let&apos;s Groove
08/07/2016 12:04,Queen,Radio Ga Ga
08/07/2016 12:00,Michael Jackson,Billie Jean
08/07/2016 11:49,Steve Winwood,Higher Love
08/07/2016 11:42,Cyndi Lauper,Girls Just Want To Have Fun
08/07/2016 11:37,Abba,S.O.S
08/07/2016 11:34,Mike Oldfield,Moonlight Shadow
08/07/2016 11:28,Mungo Jerry,In The Summertime
08/07/2016 11:22,Murray Head,One Night In Bangkok
08/07/2016 11:17,Tina Turner,Proud Mary
08/07/2016 11:11,Gloria Gaynor,I Will Survive
08/07/2016 11:05,Terence Trent D&apos;arby,Sign Your Name
08/07/2016 11:01,Katrina &amp; The Wawes,Walking On Sunshine
08/07/2016 10:53,Madonna,La Isla Bonita
08/07/2016 10:46,Cliff Richard,We Don&apos;t Talk Anymore
08/07/2016 10:39,Billy Idol,Rebel Yell
08/07/2016 10:34,Gazebo,I Like Chopin
08/07/2016 10:27,Earth Wind &amp; Fire,Fantasy
08/07/2016 10:21,Michael Jackson,Bad
08/07/2016 10:17,John Waite,Missing You
08/07/2016 10:11,Queen,Don´t Stop Me Now
08/07/2016 10:06,Sandra,In The Heat Of The Night
08/07/2016 10:01,Phil Collins,In The Air Tonight
08/07/2016 09:52,Baccara,"Yes Sir, I Can Boogie"
08/07/2016 09:48,Pet Shop Boys,It&apos;s A Sin
08/07/2016 09:42,Dexy&apos;s Midnight Runners,Come On Eileen
08/07/2016 09:39,Kim Wilde,You Came
08/07/2016 09:37,Aretha Franklin,Respect
08/07/2016 09:30,Toto,Africa
08/07/2016 09:27,Thelma Houston,Don&apos;t Leave Me This Way
08/07/2016 09:24,Bangles,Manic Monday
08/07/2016 09:18,Simon &amp; Garfunkel,Mrs. Robinson
08/07/2016 09:14,Michael Sembello,Maniac
08/07/2016 09:10,Lipps Inc.,Funkytown
08/07/2016 09:07,Hooters,500 miles
08/07/2016 09:02,Bee Gees,Tragedy
08/07/2016 08:53,Donna Summer,Bad Girls
08/07/2016 08:49,Joe Cocker,Summer In The City
08/07/2016 08:45,Anita Ward,Ring My Bell
08/07/2016 08:38,Don Henley,Boys Of Summer
08/07/2016 08:33,ABBA,The Winner Takes It All
08/07/2016 08:28,Irene Cara,Flashdance... (What a Feeling)
